Feature_Class,Characteristic
Airport,Manmade
Arch,Natural
Area,Natural
Arroyo,Natural
Bar,Natural
Basin,Natural
Bay,Natural
Beach,Natural
Bench,Manmade
Bend,Natural
Bridge,Manmade
Building,Manmade
Canal,Manmade
Cape,Natural
Cave,Natural
Cemetery,Manmade
Census,Manmade
Channel,Natural
Church,Manmade
Civil,Manmade
Cliff,Natural
Crater,Natural
Crossing,Manmade
Dam,Manmade
Falls,Natural
Flat,Natural
Forest,Natural
Gap,Natural
Glacier,Natural
Gut,Natural
Harbor,Manmade
Hospital,Manmade
Island,Natural
Isthmus,Natural
Lake,Natural
Lava,Natural
Levee,Manmade
Locale,Manmade
Military,Manmade
Mine,Manmade
Oilfield,Manmade
Park,Manmade
Pillar,Manmade
Plain,Natural
Populated Place,Manmade
Post Office,Manmade
Range,Natural
Rapids,Natural
Reserve,Manmade
Reservoir,Manmade
Ridge,Natural
School,Manmade
Sea,Natural
Slope,Natural
Spring,Natural
Stream,Natural
Summit,Natural
Swamp,Natural
Tower,Manmade
Trail,Manmade
Tunnel,Manmade
Unknown,NA
Valley,Natural
Well,Manmade
Woods,Natural
